Ticker,Flag Price,Buy Price,Flag Time,Buy Time,Time Between Flag and Buy,Lowest RSI,TTM Strength,P/L ($),P/L (%)
VVR,4.369999885559082,4.375,105,104,-1,17.94406844036766,0.003153031383241744,-10.27490854263306,-0.3428540910993303
VVX,46.2400016784668,46.31999969482422,70,86,16,29.86347617032293,0.03103549684796958,-18.553466796875,-0.6258590686769044
VZ,40.4900016784668,40.52000045776367,185,185,0,29.17583577630803,0.02264415059770855,-0.7401580810546875,-0.02468444254065237
W,72.36000061035156,72.70999908447266,10,9,-1,27.08480264981499,0.4766337803431941,-7.79010009765625,-0.2613154226360392
WAL,64.20999908447266,64.2300033569336,285,289,4,25.90029680711116,0.01983622414725184,25.75988769531205,0.8718628823383029
WDS,18.32500076293945,18.34499931335449,65,65,0,29.2614320553628,0.01304134641374846,49.71504974365234,1.662580084992165
WH,70.02999877929688,70.08000183105469,325,338,13,24.56227725600515,0.02267055238996296,-5.879974365234375,-0.1997708133426437
WOR,59.56999969482422,59.77000045776367,295,299,4,24.85353534554937,0.07794637816292754,-9.000015258789062,-0.3011549335740394
WRB,78.8499984741211,78.9000015258789,15,15,0,26.75623892516815,0.08496446064540249,-7.600173950195312,-0.2534912215066535
WST,347.7000122070312,347.8049926757812,110,118,8,27.83224044763918,0.3397896793910489,2.120117187500455,0.07619633243291099
WTI,2.329999923706055,2.335000038146973,70,69,-1,25.60187970388819,0.001866151435034526,0.0,0.0
YOU,17.53000068664551,17.54000091552734,75,81,6,26.04320565559776,0.01284993716648647,-7.695013046264648,-0.2565568639971327
ZIM,18.01009941101074,18.02000045776367,90,89,-1,19.22987054740128,0.1126230185372491,14.94002532958984,0.4994458951254648
ZTS,172.7774963378906,172.8699951171875,375,376,1,26.39188357134429,0.02871165139334758,7.139968872069858,0.2429560830730621
AAON,75.83999633789062,75.87000274658203,370,369,-1,27.23484515522163,0.05380939483642577,3.509857177734375,0.1186191309248099
AAPD,20.41500091552734,20.45050048828125,165,164,-1,18.88135215674758,0.01375691141401059,-8.103004455566406,-0.2713871503994795
ACCD,7.230000019073486,7.25,30,30,0,25.71961881052,0.01006365026746494,-8.259992122650146,-0.2758618058829472
ACHC,69.61000061035156,69.63500213623047,90,89,-1,28.32741123617724,0.07094954626900751,1.504829406738281,0.05025638205105421
ACLX,51.59999847412109,51.7599983215332,375,374,-1,28.44769400425943,0.08426700319562597,2.850173950195767,0.09660558999092977
ADTN,5.394999980926514,5.400000095367432,265,281,16,27.84818299384854,0.01034798826490137,2.775063514709473,0.09259471023356985
ADV,3.240000009536743,3.244999885559082,110,109,-1,28.16863366238555,0.01487725658076142,-18.47998237609863,-0.616332253677965
AEHR,11.18000030517578,11.22000026702881,65,65,0,25.50774314971828,0.01770451579775112,-14.95218944549561,-0.4991150463539256
AISP,5.298200130462646,5.319499969482422,160,174,14,23.77304180223238,0.01329682265009202,-11.03475189208984,-0.3684540776994926
AKBA,1.173499941825867,1.179100036621094,110,110,0,29.58238049377897,0.003164010601384278,-10.43061447143555,-0.3477299785825671
AKRO,20.75,20.76000022888184,325,331,6,24.90839649482014,0.0432398496355329,19.44003295898438,0.6502901126851637
AKTS,0.4388000071048737,0.439300000667572,85,93,8,17.86567520397848,0.0003422169280903609,-14.3408374786377,-0.4780311499056136
ALGT,56.47000122070312,56.52000045776367,120,120,0,18.52233466278751,0.05120282718113467,-7.764480590820312,-0.259199633054743
